brand,eans,file_urls,files,model,model_2,product,product_lang,source,thumb,type,url
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210311/161544864825.pdf,,Amazfit GTS 2 mini,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5fdac5133d807.png,User Guide,https://support.amazfit.com/kr/product/2018
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210722/16269428383.pdf,,Amazfit PowerBuds Pro,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/60f92cef12f34.png,User Guide,https://support.amazfit.com/kr/product/powerbudspro
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210722/162694336089.pdf,,Amazfit PowerBuds Pro,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/60f92cef12f34.png,Quickstart Guide,https://support.amazfit.com/kr/product/powerbudspro
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161216077276.pdf,,Amazfit GTR,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5d8c87816ea3e.png,Quickstart Guide,https://support.amazfit.com/jp/product/gtr
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210527/162210874635.pdf,,Amazfit T-Rex Pro,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/605ab391cc09d.png,Quickstart Guide,https://support.amazfit.com/kr/product/11
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210527/162210885498.pdf,,Amazfit T-Rex Pro,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/605ab391cc09d.png,User Guide,https://support.amazfit.com/kr/product/11
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161216112456.pdf,,Amazfit T-Rex,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5e2034a4a0ab7.png,Quickstart Guide,https://support.amazfit.com/jp/product/t-rex
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210129/161190292496.pdf,,Amazfit Neo,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f62d0d289508.png,Quickstart Guide,https://support.amazfit.com/jp/product/neo
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161216216025.pdf,,Amazfit Band 5,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f6315103f223.png,Quickstart Guide,https://support.amazfit.com/jp/product/band
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210406/161769456433.pdf,,Amazfit PowerBuds,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5eb3e1e90171d.png,Quickstart Guide,https://support.amazfit.com/jp/product/1
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210203/161232364241.pdf,,Amazfit X,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f3defc1b3fd0.png,Quickstart Guide,https://support.amazfit.com/jp/product/a
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161216379318.pdf,,Amazfit Smart Scale,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5fdac635c75d8.png,Quickstart Guide,https://support.amazfit.com/jp/product/scale
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210204/161241049288.pdf,,Amazfit Smart Scale,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5fdac635c75d8.png,User Guide,https://support.amazfit.com/jp/product/scale
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161216003037.pdf,,Amazfit GTR 2,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f977ec00a9b4.png,Quickstart Guide,https://support.amazfit.com/jp/product/2222
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210204/161240822387.pdf,,Amazfit GTR 2,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f977ec00a9b4.png,User Guide,https://support.amazfit.com/jp/product/2222
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161216022435.pdf,,Amazfit Bip U,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f8806f20e4cf.png,Quickstart Guide,https://support.amazfit.com/jp/product/2017
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210204/161240971523.pdf,,Amazfit Bip U,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f8806f20e4cf.png,User Guide,https://support.amazfit.com/jp/product/2017
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161215983416.pdf,,Amazfit GTS 2,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f9783f3eb35f.png,Quickstart Guide,https://support.amazfit.com/jp/product/2221
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210204/161240830716.pdf,,Amazfit GTS 2,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f9783f3eb35f.png,User Guide,https://support.amazfit.com/jp/product/2221
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161215884033.pdf,,Amazfit Bip U Pro,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5fc8447ec0b9d.png,Quickstart Guide,https://support.amazfit.com/jp/product/bipupro
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210204/16124097919.pdf,,Amazfit Bip U Pro,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5fc8447ec0b9d.png,User Guide,https://support.amazfit.com/jp/product/bipupro
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210129/161190223511.pdf,,Amazfit ZenBuds,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f6314610b9be.png,Quickstart Guide,https://support.amazfit.com/jp/product/zend
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161215959555.pdf,,Amazfit GTR 2e,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5ff7cd8fc7d99.png,Quickstart Guide,https://support.amazfit.com/jp/product/gtr2
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210225/161422117978.pdf,,Amazfit GTR 2e,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5ff7cd8fc7d99.png,User Guide,https://support.amazfit.com/jp/product/gtr2
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161215937297.pdf,,Amazfit GTS 2e,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5ff7cf4ebb359.png,Quickstart Guide,https://support.amazfit.com/jp/product/gts2e
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210204/161241031081.pdf,,Amazfit GTS 2e,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5ff7cf4ebb359.png,User Guide,https://support.amazfit.com/jp/product/gts2e
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210722/162694283548.pdf,,Amazfit PowerBuds Pro,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/60f92cef12f34.png,User Guide,https://support.amazfit.com/jp/product/powerbudspro
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210722/162694335716.pdf,,Amazfit PowerBuds Pro,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/60f92cef12f34.png,Quickstart Guide,https://support.amazfit.com/jp/product/powerbudspro
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161215860698.pdf,,Amazfit GTS 2 mini,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5fdac5133d807.png,Quickstart Guide,https://support.amazfit.com/jp/product/2018
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210311/161544864374.pdf,,Amazfit GTS 2 mini,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5fdac5133d807.png,User Guide,https://support.amazfit.com/jp/product/2018
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210324/161655657137.pdf,,Amazfit T-Rex Pro,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/605ab391cc09d.png,Quickstart Guide,https://support.amazfit.com/jp/product/11
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210603/162271119182.pdf,,Amazfit T-Rex Pro,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/605ab391cc09d.png,User Guide,https://support.amazfit.com/jp/product/11
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210201/161216076224.pdf,,Amazfit GTR,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5d8c87816ea3e.png,Quickstart Guide,https://support.amazfit.com/fr/product/gtr
Amazfit,,https://amazfit-support.cdn.bcebos.com/uploads/doc/20210129/161190291093.pdf,,Amazfit Neo,,No Category,,amazfit.com,https://amazfit-support.cdn.bcebos.com/uploads/products/5f62d0d289508.png,Quickstart Guide,https://support.amazfit.com/fr/product/neo
